id,city_id,"name"
228,38,"FELAHİYE"
229,48,"FETHİYE"
230,53,"FINDIKLI"
231,7,"FİNİKE"
232,35,"FOÇA"
233,34,"GAZİOSMANPAŞA"
234,7,"GAZİPAŞA"
235,41,"GEBZE"
236,43,"GEDİZ"
237,17,"GELİBOLU"
238,32,"GELENDOST"
239,58,"GEMEREK"
240,16,"GEMLİK"
241,12,"GENÇ"
242,72,"GERCÜŞ"
243,14,"GEREDE"
244,2,"GERGER"
245,9,"GERMENCİK"
246,57,"GERZE"
247,65,"GEVAŞ"
248,54,"GEYVE"
249,28,"GİRESUN MERKEZ"
250,46,"GÖKSUN"
251,2,"GÖLBAŞI"
252,41,"GÖLCÜK"
253,75,"GÖLE"
254,15,"GÖLHİSAR"
255,52,"GÖLKÖY"
256,11,"GÖLPAZARI"
257,10,"GÖNEN"
258,28,"GÖRELE"
259,45,"GÖRDES"
260,5,"GÖYNÜCEK"
261,14,"GÖYNÜK"
262,6,"GÜDÜL"
263,33,"GÜLNAR"
264,50,"GÜLŞEHİR"
265,5,"GÜMÜŞHACIKÖY"
266,29,"GÜMÜŞHANE MERKEZ"
267,7,"GÜNDOĞMUŞ"
268,20,"GÜNEY"
269,65,"GÜRPINAR"
270,58,"GÜRÜN"
271,50,"HACIBEKTAŞ"
272,42,"HADİM"
273,58,"HAFİK"
274,30,"HAKKARİ MERKEZ"
275,63,"HALFETİ"
276,4,"HAMUR"
277,75,"HANAK"
278,21,"HANİ"
279,31,"HASSA"
281,10,"HAVRAN"
282,22,"HAVSA"
283,55,"HAVZA"
284,6,"HAYMANA"
285,59,"HAYRABOLU"
286,21,"HAZRO"
287,44,"HEKİMHAN"
288,54,"HENDEK"
289,25,"HINIS"
290,63,"HİLVAN"
291,13,"HİZAN"
292,8,"HOPA"
293,25,"HORASAN"
294,62,"HOZAT"
295,76,"IĞDIR MERKEZ"
296,18,"ILGAZ"
297,42,"ILGIN"
298,32,"ISPARTA MERKEZ"
300,73,"İDİL"
301,3,"İHSANİYE"
302,53,"İKİZDERE"
303,24,"İLİÇ"
304,58,"İMRANLI"
305,17,"GÖKÇEADA"
306,38,"İNCESU"
307,37,"İNEBOLU"
308,16,"İNEGÖL"
309,22,"İPSALA"
310,31,"İSKENDERUN"
311,19,"İSKİLİP"
312,27,"İSLAHİYE"
313,25,"İSPİR"
314,10,"İVRİNDİ"
315,16,"İZNİK"
316,34,"KADIKÖY"
317,42,"KADINHANI"
318,80,"KADİRLİ"
319,36,"KAĞIZMAN"
320,2,"KAHTA"
321,20,"KALE"
322,6,"KALECİK"
323,53,"KALKANDERE"
324,40,"KAMAN"
325,41,"KANDIRA"
326,58,"KANGAL"
327,35,"KARABURUN"
328,78,"KARABÜK MERKEZ"
329,16,"KARACABEY"
330,9,"KARACASU"
331,64,"KARAHALLI"
332,1,"KARAİSALI"
333,23,"KARAKOÇAN"
334,70,"KARAMAN MERKEZ"
335,41,"KARAMÜRSEL"
336,42,"KARAPINAR"
337,54,"KARASU"
338,1,"KARATAŞ"
339,25,"KARAYAZI"
340,19,"KARGI"
341,12,"KARLIOVA"
342,36,"KARS MERKEZ"
343,35,"KARŞIYAKA"
344,34,"KARTAL"
345,37,"KASTAMONU MERKEZ"
346,7,"KAŞ"
347,55,"KAVAK"
348,54,"KAYNARCA"
349,23,"KEBAN"
350,32,"KEÇİBORLU"
351,16,"KELES"
352,29,"KELKİT"
353,24,"KEMAH"
354,24,"KEMALİYE"
355,35,"KEMALPAŞA"
356,10,"KEPSUT"
357,71,"KESKİN"
358,22,"KEŞAN"
359,28,"KEŞAP"
360,14,"KIBRISCIK"
361,35,"KINIK"
362,31,"KIRIKHAN"
